Symbol,Company,Yield Percentage,Next Ex-div Date
MLHR,Herman Miller,2.236%,2020-02-27
HIFS,Hingham Institution for Savings,0.871%,2020-01-03
HOMB,Home BancShares,2.842%,2020-02-11
HBNC,Horizon Bancorp (IN),2.98%,2020-01-02
HBAN,Huntington Bancshares,4.724%,2020-03-17
HURC,Hurco Companies,1.714%,2019-12-31
IEP,Icahn Enterprises L.P.,12.419%,2019-11-14
INDB,Independent Bank,2.468%,2019-12-27
INTC,Intel,2.21%,2020-02-06
IPAR,Inter Parfums,2.174%,2019-12-30
TILE,Interface,1.656%,2019-11-07
IBOC,International Bancshares Corporation,2.979%,2019-09-27
INTU,Intuit,0.744%,2020-01-09
PGX,Invesco Preferred ETF,5.262%,2020-02-24
ISBC,Investors Bancorp,4.305%,2020-02-07
JJSF,J & J Snack Foods,1.316%,2020-03-16
JBHT,J.B. Hunt Transport Services,1.066%,2020-02-06
JKHY,Jack Henry & Associates,1.05%,2020-02-28
KLAC,KLA-Tencor Corporation,2.306%,2020-02-20
KALU,Kaiser Aluminum Corporation,2.59%,2020-01-23
KINS,Kingstone Companies,3.516%,2020-02-27
LBAI,Lakeland Bancorp,3.213%,2020-02-03
LKFN,Lakeland Financial Corporation,2.82%,2020-01-23
LRCX,Lam Research Corporation,1.574%,2020-03-24
LANC,Lancaster Colony Corporation,1.857%,2020-03-05
LARK,Landmark Bancorp,3.309%,2020-02-18
LSTR,Landstar System,0.708%,2020-02-13
LMAT,LeMaitre Vascular,1.276%,2020-03-02
LCUT,Lifetime Brands,2.591%,2020-01-30
LMNR,Limoneira,1.566%,2019-12-27
LECO,Lincoln Electric Holdings,2.354%,2020-03-30
LFUS,Littelfuse,1.123%,2020-02-19
LOGI,Logitech International S.A.,1.235%,2019-09-18
MGEE,MGE Energy,1.809%,2020-02-27
MKSI,MKS Instruments,0.786%,2020-02-21
MFNC,Mackinac Financial Corporation,3.736%,2019-12-26
LOAN,Manhattan Bridge Capital,7.321%,2020-04-08
MKTX,MarketAxess Holdings,0.709%,2020-02-11
MRLN,Marlin Business Services,2.873%,2020-02-07
MAR,Marriott International,1.547%,2020-02-27
MMLP,Martin Midstream,10.638%,2020-02-06
MATW,Matthews International Corporation,2.723%,2020-01-31
MXIM,Maxim Integrated Products,3.349%,2020-02-26
MGRC,McGrath RentCorp,1.973%,2020-01-16
MBWM,Mercantile Bank Corporation,3.574%,2020-03-05
MEOH,Methanex Corporation,4.689%,2020-03-16
