Symbol,Company,Yield Percentage,Next Ex-div Date
RMD,ResMed,0.941%,2020-02-12
RPAI,Retail Properties of America,5.746%,2020-03-25
RIO,Rio Tinto PLC ADS,5.988%,2019-08-08
RBA,Ritchie Bros. Auctioneers Incorporated,1.906%,2020-02-13
RHI,Robert Half International,2.544%,2020-02-24
ROK,Rockwell Automation,2.072%,2020-02-14
ROL,Rollins,1.242%,2020-02-07
ROP,Roper Technologies,0.56%,2020-01-08
RCL,Royal Caribbean Cruises,3.484%,2020-03-05
RDS.B,Royal Dutch Shell Plc ADR Sponsored Repstg B Shs,8.139%,2020-02-13
R,Ryder System,5.749%,2020-02-14
RHP,Ryman Hospitality Properties Inc. (REIT),4.808%,2020-03-30
SPGI,S&P Global (McGraw Hill),0.948%,2020-02-25
SITC,SITE Centers,6.375%,2020-03-09
SJW,SJW Group (DE),1.851%,2020-02-07
SKM,SK Telecom Co. (ADR),0.944%,2019-06-27
SLG,SL Green Realty Corporation,4.163%,2019-12-31
SPYD,SPDR Series Trust Portfolio S&P 500 High Dividend,4.839%,2019-12-20
STE,STERIS plc,0.898%,2020-02-24
STM,STMicroelectronics N.V. ADS,0.857%,2020-03-16
STOR,STORE Capital Corporation,3.779%,2019-12-30
SNY,Sanofi SA (ADR),3.514%,2019-05-07
SLB,Schlumberger,6.817%,2020-02-11
SWM,Schweitzer-Mauduit International,4.994%,2020-03-03
SMG,Scotts Miracle-Gro Company,2.04%,2020-02-24
SSW,Seaspan,4.892%,2020-01-16
SRE,Sempra Energy,2.587%,2019-12-27
SXT,Sensient Technologies Corporation,2.945%,2020-02-03
SCI,Service Corporation International,1.473%,2020-03-12
SHW,Sherwin-Williams,0.973%,2020-02-28
SFL,Ship Finance International,11.12%,2020-03-10
SIG,Signet Jewelers Limited,6.508%,2020-01-30
SPG,Simon Property Group,6.209%,2020-02-13
SIX,Six Flags Entertainment,3.578%,2020-03-03
SNN,Smith & Nephew SNATS,1.942%,2020-04-02
SNA,Snap-On Incorporated,2.812%,2020-02-21
SON,Sonoco Products,3.306%,2020-02-25
SNE,Sony Corporation,0.578%,2019-09-27
SJI,South Jersey Industries,3.676%,2020-03-17
SO,Southern,3.709%,2020-02-14
LUV,Southwest Airlines,1.45%,2020-03-03
SWX,Southwest Gas Holdings,2.956%,2020-02-14
SGB,Southwest Georgia Financial Corporation,1.501%,2019-11-29
SPB,Spectrum Brands Holdings,3.096%,2020-02-14
SR,Spire,2.982%,2020-03-10
SRC,Spirit Realty Capital,4.793%,2019-12-30
STAG,Stag Industrial,4.623%,2020-02-27
SMP,Standard Motor Products,2.165%,2020-02-13
SXI,Standex International Corporation,1.287%,2020-02-07
SWK,Stanley Black & Decker,1.921%,2020-03-02
SGU,Star Group,5.562%,2020-01-24
STWD,Starwood Property Trust,7.924%,2020-03-30
STT,State Street,2.936%,2020-03-31
SCS,Steelcase,3.326%,2019-12-26
SCL,Stepan Company,1.173%,2020-03-04
SYK,Stryker,1.115%,2020-03-30
RGR,"Sturm, Ruger & Co",1.417%,2020-03-12
SUI,Sun Communities,1.76%,2019-12-30
SUN,Sunoco LP,11.25%,2020-02-06
SYF,Synchrony Financial,2.861%,2020-02-06
SYY,Sysco,2.431%,2020-01-02
TCP,TC PipeLines LP representing Limited Partner,6.485%,2020-01-30
TEL,TE Connectivity,2.131%,2020-02-20
TJX,TJX Cos.,1.541%,2020-02-12
SKT,Tanger Factory Outlet Centers,11.617%,2020-04-29
TPR,Tapestry,5.544%,2020-03-05
TRGP,Targa Resources,10.205%,2020-01-30
TGT,Target,2.363%,2020-02-18
TCO,Taubman Centers,5.081%,2019-12-13
TGP,Teekay LNG Partners L.P. Un,6.507%,2019-10-31
TEO,Telecom Argentina SA (ADR),11.511%,2019-10-18
TDS,Telephone and Data Systems,3.29%,2020-03-16
TNC,Tennant Company,1.089%,2020-02-28
TEX,Terex Corporation,2.088%,2020-03-05
TRNO,Terreno Realty Corporation,1.831%,2020-03-26
TPL,Texas Pacific Land Trust,0.246%,2020-03-06
AES,The AES Corporation,2.958%,2020-01-30
BK,The Bank of New York Mellon,2.981%,2020-01-24
BX,The Blackstone Group,4.321%,2020-02-07
GEO,The Geo Group,12.276%,2020-02-13
TMO,Thermo Fisher Scientific,0.245%,2019-12-16
TRI,Thomson Reuters,1.418%,2020-03-05
THO,Thor Industries,1.992%,2019-12-24
TIF,Tiffany & Co.,1.735%,2020-03-19
TMP,Tompkins Financial Corporation,2.468%,2020-02-07
TR,Tootsie Roll Industries,1.044%,2020-03-02
TTC,Toro,1.29%,2019-12-24
TOT,Total S.A. (ADR),6.633%,2020-01-02
TM,Toyota Motor (ADR),2.731%,2019-09-27
TRV,Travelers Companies,2.508%,2020-03-09
TG,Tredegar Corporation,2.629%,2019-12-12
TRN,Trinity Industries,3.636%,2020-01-14
TUP,Tupperware Brands,34.727%,2019-09-17
TWO,Two Harbors Investment,10.818%,2019-12-30
TSN,Tyson Foods,2.343%,2020-02-27
USPH,U.S. Physical Therapy,0.954%,2019-11-15
UDR,UDR,2.768%,2020-01-09
UGI,UGI Corporation,3.275%,2020-03-13
USB,US Bancorp,3.312%,2019-12-30
UL,Unilever,3.182%,2020-02-20
UNP,Union Pacific,2.27%,2020-02-27
UNH,United Health Group,1.64%,2019-12-06
UMC,United Microelectronics (ADR),3.679%,2019-07-15
UPS,United Parcel Service,4.302%,2020-02-24
UTX,United Technologies,2.118%,2020-02-13
UVV,Universal,6.183%,2020-04-09
UHT,Universal Health Realty Income Trust,2.284%,2019-12-17
UHS,Universal Health Services,0.59%,2020-02-28
UNM,Unum Group,4.453%,2020-01-30
UBA,Urstadt Biddle Properties,5.096%,2020-01-02
VFC,V.F.,2.486%,2020-03-09
MTN,Vail Resorts,3.051%,2019-12-24
VALE,Vale SA (ADR),6.737%,2019-12-27
VLO,Valero Energy Corporation,5.266%,2020-02-11
VVV,Valvoline Inc.,2.114%,2020-02-27
VHT,Vanguard Health Care,1.968%,2019-12-16
VOO,Vanguard S&P 500 Etf,1.91%,2019-12-23
VGR,Vector Group,12.729%,2019-12-16
VTR,Ventas,5.30%,2019-12-31
VZ,Verizon Communications,4.307%,2020-01-09
V,Visa,0.637%,2020-02-13
VST,Vistra Energy Corp.,2.491%,2020-03-16
VNO,Vornado Realty Trust,4.481%,2020-01-24
WPC,W. P. Carey,4.772%,2019-12-30
WRB,W.R. Berkley Corporation,0.585%,2020-03-10
GWW,W.W. Grainger,2.023%,2020-02-07
WPG,WP Glimcher,41.494%,2019-11-29
WPP,WPP plc American Depositary Shares,4.765%,2019-10-03
WDR,Waddell & Reed,6.698%,2020-01-10
WMT,Wal-Mart Stores,1.888%,2020-03-19
DIS,Walt Disney,1.373%,2019-12-13
WRE,Washington Real Estate Investment Trust,4.008%,2020-03-16
WCN,Waste Connections,0.73%,2020-02-26
WM,Waste Management,1.788%,2020-03-05
WSO,Watsco,3.98%,2020-01-15
WTS,Watts Water Technologies Inc. Class A,0.93%,2020-02-27
WBS,Webster Financial Corporation,3.798%,2020-02-10
WRI,Weingarten Realty Investors,5.325%,2019-12-05
WFC,Wells Fargo,4.521%,2020-02-06
WELL,Welltower,4.194%,2020-02-21
WST,West Pharmaceutical Services,0.394%,2020-04-21
WES,Western Gas Partners LP Limited Partner Interests,18.33%,2019-10-31
WU,Western Union,3.741%,2020-03-16
WAB,Westinghouse Air Brake Technologies Corporation,0.662%,2020-02-06
WLK,Westlake Chemical Corporation,1.833%,2020-02-24
WRK,Westrock Company,5.322%,2020-02-13
WHG,Westwood Holdings Group,6.454%,2020-03-05
WY,Weyerhaeuser,4.845%,2020-03-05
WHR,Whirlpool,3.50%,2020-02-27
WMB,Williams Cos.,8.312%,2020-03-12
WSM,Williams-Sonoma,2.885%,2020-01-23
WEC,Wisconsin Energy Corporation,2.52%,2020-02-13
WOR,Worthington Industries,2.783%,2020-03-12
WYND,Wyndham Destinations,4.19%,2019-12-12
XRX,Xerox,2.743%,2019-12-30
XYL,Xylem Inc. New,1.239%,2020-02-26
YUM,Yum! Brands,1.919%,2020-02-13
ZBH,Zimmer Biomet Holdings,0.641%,2019-12-26
ZTS,Zoetis Inc. Class A,0.593%,2020-04-16
IVV,iShares Trust- Shares S&P 500 Index Fund,2.005%,2019-12-16
