Symbol,Company,Yield Percentage,Next Ex-div Date
CMD,Cantel Medical,0.317%,2020-01-16
COF,Capital One Financial,1.725%,2020-02-07
CMO,Capstead Mortgage,7.614%,2019-12-30
CAH,Cardinal Health,3.471%,2020-03-31
CSL,Carlisle Companies Incorporated,1.307%,2020-02-19
CCL,Carnival,5.58%,2020-02-20
CRI,Carters,2.617%,2020-03-05
CAT,Caterpillar,3.194%,2020-01-17
CATO,Cato,8.153%,2019-12-13
FUN,Cedar Fair LP,7.828%,2020-03-03
CE,Celanese Corporation Series A,2.536%,2020-02-14
CNP,CenterPoint Energy,4.737%,2020-02-19
CPF,Central Pacific Financial,3.501%,2020-02-27
CTL,CenturyTel,7.962%,2019-11-29
SCHW,Charles Schwab,1.738%,2020-02-13
CCF,Chase Corporation,0.913%,2019-11-25
CLDT,Chatham Lodging Trust,8.354%,2020-02-27
CHE,Chemed,0.279%,2020-02-28
CPK,Chesapeake Utilities Corporation,1.712%,2019-12-13
CVX,Chevron,5.124%,2020-02-14
CHS,Chicos FAS,8.537%,2019-12-06
CIM,Chimera Investment Corporation,9.246%,2020-03-30
CB,Chubb,1.908%,2019-12-19
CHT,Chunghwa Telecom Co. Ltd. (ADR),4.024%,2019-07-24
CHD,Church & Dwight Company,1.284%,2020-02-13
XEC,Cimarex Energy,2.427%,2020-05-14
CNK,Cinemark Holdings,5.333%,2020-03-05
C,Citigroup,2.938%,2020-01-31
CFG,Citizens Financial Group,4.53%,2020-01-28
CLF,Cliffs Natural Resources,3.715%,2020-04-02
CLX,Clorox,2.526%,2020-04-21
KO,Coca Cola,2.836%,2020-03-13
CCEP,Coca-Cola European Partners plc,5.054%,2019-11-18
CNS,Cohen & Steers,2.183%,2020-02-28
CL,Colgate-Palmolive,2.331%,2020-01-22
CMA,Comerica Incorporated,4.79%,2020-03-12
FIX,Comfort Systems USA,0.867%,2019-11-07
CBU,Community Bank System,2.51%,2020-03-13
CCU,Compania Cervecerias Unidas (United Breweries),2.451%,2019-12-18
BVN,Compania de Minas Buenaventura (ADR),0.458%,2019-11-22
CMP,Compass Minerals International,4.818%,2020-02-28
CAG,ConAgra Foods,2.995%,2020-01-30
CXO,Concho Resources,1.125%,2020-02-27
COP,ConocoPhillips,3.121%,2020-02-13
ED,Consolidated Edison,3.467%,2020-02-18
STZ,Constellation Brands Inc.,1.536%,2020-02-10
COO,Cooper Companies Inc. (The),0.018%,2020-01-22
CPA,Copa Holdings S.A. Cl A,3.283%,2020-02-27
CLB,Core Laboratories N.V.,3.447%,2020-01-23
CXW,CoreCivic,11.104%,2020-03-31
COR,CoreSite Realty Corporation,4.331%,2019-12-30
GLW,Corning,3.421%,2020-02-27
OFC,Corporate Office Properties Trust,3.801%,2019-12-30
CMRE,Costamare,6.231%,2020-01-17
COTY,Coty Inc. Class A,4.785%,2020-02-14
CVA,Covanta Holding,6.821%,2019-12-26
CCI,Crown Castle International Corp (New),2.944%,2020-03-12
CUBE,CubeSmart,4.181%,2020-03-31
CFR,Cullen/Frost Bankers,3.191%,2020-02-27
CMI,Cummins,3.257%,2020-02-20
DTE,DTE Energy,3.161%,2020-03-13
DHR,Danaher,0.473%,2020-03-26
DRI,Darden Restaurants,3.15%,2020-01-09
DE,Deere & Co.,1.824%,2019-12-30
DKL,Delek Logistics Partners L.P. representing Li,13.209%,2020-02-03
DAL,Delta Air Lines,3.164%,2020-02-19
DB,Deutsche Bank AG,1.318%,2019-05-24
DVN,Devon Energy,2.025%,2020-03-12
DEO,Diageo plc (ADR),1.881%,2020-02-27
DRH,Diamondrock Hospitality,5.219%,2019-12-31
DKS,Dicks Sporting Goods,2.702%,2019-12-12
DLR,Digital Realty Trust,3.235%,2019-12-12
DDS,Dillards,1.052%,2019-12-30
DIN,Dine Brands Global,3.433%,2020-03-19
ERX,Direxion Daily Energy Bull 3X ETF,3.81%,2019-12-23
NUGT,Direxion Daily Gold Miners Bull 3X ETF,0.706%,2019-12-23
DFS,Discover Financial Services,2.533%,2020-02-19
DG,Dollar General Corporation,0.793%,2020-01-06
D,Dominion Resources,4.283%,2020-02-27
DPZ,Dominos Pizza,0.851%,2020-03-12
UFS,Domtar Corporation,5.952%,2020-04-01
DCI,Donaldson Company,1.743%,2020-02-13
PLOW,Douglas Dynamics,2.198%,2020-03-19
DEI,Douglas Emmett,2.631%,2019-12-30
DOV,Dover,1.781%,2020-02-27
DOW,Dow Inc.,6.504%,2020-02-27
DUK,Duke Energy,3.808%,2020-02-13
DRE,Duke Realty,2.597%,2020-02-13
DX,Dynex Capital Inc.,9.73%,2020-02-21
E,ENI S.p.A. (ADR),7.308%,2019-09-23
