Symbol,Company,Yield Percentage,Next Ex-div Date
UFS,Domtar Corporation [TSX],5.931%,2020-04-01
DIR.UN,Dream Industrial REIT,5.091%,2020-02-27
D.UN,Dream Office REIT,2.782%,2020-02-27
ECN,ECN Capital Corp.,1.767%,2019-12-30
EFN,Element Financial Corporation,1.434%,2019-12-30
EMA,Emera Incorporated,4.108%,2020-01-30
EMP.A,Empire Company Ltd. Cl.A Nv,1.517%,2020-01-14
ENB,Enbridge,6.109%,2020-02-13
EFX,Enerflex Ltd.,6.208%,2020-03-11
ERF,Enerplus Corporation,1.997%,2020-02-27
EIT.UN,Enervest Diversified Income Trust,11.73%,2020-02-21
ENGH,Enghouse Systems,0.85%,2020-02-13
ESI,Ensign Energy Services,11.268%,2019-12-19
EQB,Equitable Group Inc.,1.526%,2020-03-12
ERE.UN,European Residential Real Estate Investm,2.987%,2020-02-27
ET,Evertz Technologies Limited,4.162%,2019-12-19
EIF,Exchange Income Corporation,5.51%,2020-02-27
XTC,Exco Technologies Limited,5.094%,2020-03-16
EXE,Extendicare Real Estate Investment Trst,5.762%,2020-02-27
FFH,Fairfax Financial Holdings,2.091%,2020-01-16
FSZ,Fiera Capital Corporation Class A Subordinate,6.942%,2019-11-19
FTN,Financial 15 Split Corp.,21.829%,2020-02-27
FTT,Finning Intl,4.031%,2020-02-26
FC,Firm Capital Mortgage Investment Corporation,6.337%,2020-02-27
FN,First National Financial,5.259%,2020-02-27
FM,First Quantum Minerals,0.097%,2020-04-15
FSV,FirstService Corporation,0.633%,2020-03-30
FTS,Fortis,3.298%,2020-05-14
FNV,Franco-Nevada Corporation,0.849%,2020-03-11
FRU,Freehold Royalties,9.56%,2020-02-27
GH,Gamehost,8.254%,2020-02-27
MIC,Genworth Mi Canada,3.907%,2020-02-14
GEI,Gibson Energy,5.175%,2020-03-30
GIL,Gildan Activewear,2.428%,2020-03-11
GMP,Gmp Capital,5.556%,2019-12-13
GRT.UN,Granite Real Estate Investment Trust,4.006%,2020-02-27
GWO,Great-West Lifeco,5.319%,2020-03-02
GCG.A,Guardian Capital Group Limited Class A Non-vo,2.334%,2020-04-08
HR.UN,H&R Real Estate Inv Trust,6.556%,2020-03-16
HDI,Hardwoods Distribution,2.142%,2020-01-17
HWO,High Arctic Energy Services,11.928%,2020-02-27
HLF,High Liner,2.506%,2019-11-28
HNL,Horizon North Logistics,8.791%,2019-12-30
HMMJ,Horizons Marijuana Life Sciences Index ETF,14.17%,2019-12-30
HBM,Hudbay Minerals,0.575%,2020-03-09
HBC,Hudsons Bay Company,0.457%,2019-12-30
HSE,Husky Energy,6.72%,2019-11-29
H,Hydro One Limited,3.362%,2020-03-10
IGM,Igm Financial,6.008%,2020-03-30
IMO,Imperial Oil,2.856%,2020-03-04
IAG,Industrial Alliance Ins & Fin Srv,2.883%,2020-02-27
ISV,Information Services Corporation,4.878%,2019-12-30
INE,Innergex Renewable Energy,3.308%,2019-12-30
INO.UN,Inovalis REIT,7.696%,2020-02-27
IFC,Intact Financial Corporation,2.188%,2020-03-13
IPL,Inter Pipeline Fund,8.112%,2020-02-21
IIP.UN,Interrent Real Estate Investment Trust,1.791%,2020-02-27
ITP,Intertape Polymer Group,5.302%,2019-12-13
IVQ.U,Invesque Inc.,10.754%,2020-02-27
JWEL,Jamieson Wellness Inc.,1.677%,2020-02-27
KPT,KP Tissue,6.486%,2019-12-30
KBL,Kbro Linen,2.66%,2020-02-27
KEG.UN,Keg Royalties Income Fund,7.381%,2020-02-20
KEY,Keyera,5.593%,2020-02-24
KMP.UN,Killam REIT,2.964%,2020-02-27
KL,Kirkland Lake Gold Ltd.,0.641%,2019-12-30
LIF,Labrador Iron Ore Royalty Corporation,5.076%,2019-12-30
LAS.A,Lassonde Industries Inc. Class A Subordinate,1.725%,2020-02-24
LB,Laurentian Bank,6.327%,2019-12-31
LNF,Leons Furniture,3.54%,2019-12-05
LNR,Linamar,1.226%,2019-11-21
L,Loblaw,1.806%,2020-03-12
LUN,Lundin Mining,2.257%,2020-03-19
MTY,MTY Food Group,1.381%,2020-01-31
MG,Magna International,3.385%,2020-03-05
MFC,Manulife Financial,4.774%,2020-02-24
MFI,Maple Leaf Foods,2.391%,2019-12-05
MRE,Martinrea International,1.493%,2019-12-30
MAXR,Maxar Technologies [TSX],0.257%,2020-03-12
MKP,Mcan Mortgage Corporation,7.786%,2019-12-12
DR,Medical Facilities,7.932%,2020-03-30
MRD,Melcor Developments,4.068%,2019-12-13
MR.UN,Melcor Real Estate Investment Trust,8.313%,2020-02-27
MX,Methanex,4.658%,2020-03-16
MRU,Metro,1.657%,2020-02-12
MRC,Morguard,0.295%,2020-03-12
MRG.UN,Morguard North American Residential Real Esta,3.451%,2020-02-27
MRT.UN,Morguard Un,7.83%,2020-02-27
MSI,Morneau Shepell,2.337%,2020-02-27
MTL,Mullen Group,7.22%,2020-02-27
NA,National Bank Of Canada,3.868%,2019-12-27
NFI,New Flyer Industries,5.417%,2019-12-30
BCI,New Look Income Fd,1.893%,2019-12-19
NGT,Newmont Goldcorp Corporation,1.134%,2020-03-04
NXR.UN,Nexus Real Estate Investment Trust,7.141%,2020-02-27
OSB,Norbord,1.978%,2020-02-27
NPI,Northland Power,3.661%,2020-02-27
NVU.UN,Northview Apartment Reit,4.47%,2020-02-27
NWH.UN,Northwest Healthcare Prop Reit,6.192%,2020-02-27
NTR,Nutrien,4.421%,2020-03-30
ONEX,ONEX Corporation Subordinate Voting Shares,0.49%,2020-01-09
OTEX,Open Text,1.585%,2020-02-27
PGI.UN,PIMCO Global Income Opportunities Fund,6.062%,2020-02-27
PRV.UN,PRO Real Estate Investment Trust,8.491%,2020-02-27
PLC,Park Lawn Corporation,1.651%,2020-02-27
PKI,Parkland Fuel Corporation,2.687%,2020-02-20
PSI,Pason Systems,6.179%,2019-12-13
PPL,Pembina Pipeline [TSX],4.917%,2020-02-24
PEY,Peyto Exploration and Development,9.877%,2020-02-27
PZA,Pizza Pizza,9.025%,2020-02-27
PLZ.UN,Plazacorp Retail Properties,6.139%,2020-02-27
PIF,Polaris Infrastructure Inc.,4.781%,2020-02-19
POW,Power Corporation Of Canada Sv,4.995%,2020-02-04
PSK,PrairieSky Royalty,5.95%,2020-02-27
MMP.UN,Precious Metals And Mining Trust,7.407%,2020-02-27
PBH,Premium Brands Holdings Corporation,2.109%,2019-12-30
QTRH,Quarterhill,2.747%,2019-12-12
QBR.B,Quebecor Inc. Cl.B Sv,1.374%,2019-11-21
QSR,Restaurant Brands International,3.315%,2020-03-13
RPI.UN,Richards Packaging Income Fund,2.915%,2020-02-27
RCH,Richelieu Hardware,0.934%,2020-02-05
REI.UN,Riocan Real Est Un,5.339%,2020-02-27
RBA,Ritchie Bros Auctioneers,1.886%,2020-02-13
RME,Rocky Mountain Dealerships,7.729%,2019-12-12
RCI.B,Rogers Communications Inc. Cl.B Nv,3.122%,2020-03-09
RSI,Rogers Sugar,7.101%,2020-03-26
RY,Royal Bank Of Canada,4.067%,2020-04-22
RUS,Russel Metals,7.462%,2020-02-27
SAP,Saputo,1.711%,2020-03-02
SIS,Savaria Corporation,3.737%,2020-02-27
SES,Secure Energy Services Inc.,7.337%,2020-02-27
SJR.B,Shaw Communications Inc. Cl.B Nv,4.772%,2020-03-12
SCL,Shawcor,6.586%,2019-11-21
SIA,Sienna Senior Living,5.197%,2020-02-27
SVM,Silvercorp Metals,0.642%,2019-11-26
SRV.UN,Sir Royalty Income Fund,12.758%,2020-02-18
SOT.UN,Slate Office REIT,7.023%,2020-02-27
SRT.UN,Slate Retail REIT,8.578%,2020-02-27
ZZZ,Sleep Country Canada Holdings Inc.,4.077%,2020-02-13
SRU.UN,Smart REIT,5.989%,2020-02-27
SNC,Snc-Lavalin Sv,0.278%,2019-11-13
SII,Sprott,3.774%,2019-11-15
STN,Stantec,1.461%,2019-12-27
STLC,Stelco Holdings Inc.,4.785%,2020-02-27
SJ,Stella Jones,1.572%,2019-11-29
RAY.A,Stingray Digital Group,5.245%,2020-02-27
SMU.UN,Summit Industrial Income REIT,4.012%,2020-02-27
SLF,Sun Life Financial,3.542%,2020-02-28
SU,Suncor Energy,4.783%,2020-03-03
SPB,Superior Plus,6.818%,2020-02-27
SXP,Supremex,12.322%,2020-03-30
SGY,Surge Energy,10.416%,2020-02-27
SWP,Swiss Water Decaffeinated Coffee,4.00%,2019-12-30
SYZ,Sylogist Ltd.,4.26%,2020-02-27
TFII,TFI International,2.332%,2019-12-30
TOG,TORC Oil & Gas,8.38%,2020-02-27
TECK.B,Teck Resources Limited B shares,1.456%,2020-03-12
TCS,Tecsys Inc J,1.234%,2019-12-18
T,Telus Corporation,4.586%,2020-03-10
NWC,The North West Company,4.983%,2019-12-30
TRI,Thomson Reuters Corporation,1.884%,2020-03-05
TF,Timbercreek Financial Corp.,6.963%,2020-02-27
X,Tmx Group / Groupe Tmx,2.323%,2020-02-27
TIH,Toromont Industries,1.815%,2020-03-06
TD,Toronto-Dominion Bank,4.028%,2020-01-09
TOU,Tourmaline Oil,4.017%,2019-12-13
RNW,TransAlta Renewables,5.29%,2020-03-12
TGL,TransGlobe Energy Corporation,11.914%,2019-08-29
TA,Transalta Corporation,1.55%,2020-02-28
TRP,Transcanada,4.361%,2020-03-30
TCL.A,Transcontinental Inc. Cl A Sv,5.276%,2020-01-03
TCN,Tricon Capital Group,2.375%,2019-12-30
TNT.UN,True North Apartment Reit,7.765%,2020-02-27
UNS,Uni-Select Inc.,3.257%,2020-03-30
VCN,Vanguard FTSE Canada All Cap Index ETF,2.849%,2019-12-30
VCE,Vanguard FTSE Canada Index ETF,3.034%,2019-12-30
VSP,Vanguard S&P 500 Index ETF (CAD-hedged),1.565%,2019-12-30
VUN,Vanguard U.S. Total Market Index ETF,1.455%,2019-12-30
VUS,Vanguard U.S. Total Market Index ETF (CAD-hedged),1.447%,2019-12-30
VET,Vermilion Energy,16.429%,2020-02-27
WSP,WSP Canada Inc (Genivar),1.652%,2019-12-30
WJX,Wajax Corporation,6.993%,2019-12-13
WCN,Waste Connections Inc.,0.73%,2020-02-26
WFT,West Fraser Timber,1.419%,2020-03-17
WEF,Western Forest Products Inc.,7.438%,2020-02-27
WN,Weston George,1.951%,2019-12-12
WTE,Westshore Terminals Inv,4.485%,2019-12-30
WPM,Wheaton Precious Metals,1.086%,2019-12-03
WCP,Whitecap Resources,8.047%,2020-02-27
WPK,Winpak,0.273%,2019-12-31
YRI,Yamana Gold,1.129%,2020-03-30
GSY,goeasy Ltd.,2.631%,2020-03-26
XCB,iShares Canadian Corporate Bond Index ETF,2.863%,2020-02-24
FIE,iShares Canadian Financial Monthly Income ETF,6.718%,2020-02-24
XDV,iShares Canadian Select Dividend Index ETF,4.249%,2020-02-24
XSB,iShares Core Canadian Short Term Bond Index ETF,2.365%,2020-02-24
XSH,iShares Core Canadian Short Term Corporate +,2.775%,2020-02-24
XBB,iShares Core Canadian Universe Bond Index ETF,2.704%,2020-02-24
XAW,iShares Core MSCI All Country World ex Canada,2.073%,2019-12-30
XEF,iShares Core MSCI EAFE IMI Index ETF,2.867%,2019-12-30
XEC,iShares Core MSCI Emerging Markets IMI Index ETF,3.035%,2019-12-30
XSP,iShares Core S&P 500 Index ETF (CAD-Hedged),1.783%,2019-12-30
XUU,iShares Core S&P U.S. Total Market Index ETF,1.694%,2019-12-30
XIC,iShares Core S&P/TSX Capped Composite Index ETF,2.981%,2019-12-30
XMI,iShares Edge MSCI Min Vol EAFE ETF,3.804%,2019-12-30
XQB,iShares High Quality Canadian Bond Index ETF,2.45%,2020-02-24
CMR,iShares Premium Money Market ETF Common Class,1.562%,2020-02-25
XIU,iShares S&P/TSX 60 Index ETF,2.915%,2020-02-24
XGD,iShares S&P/TSX Global Gold Index ETF,0.508%,2019-12-30
